track_name,track_id,track_duration,track_popularity,track_explicit,album_name,album_id,album_release_date,album_release_date_precision,album_total_tracks,album_type,artist_name,artist_id,played_at
Blackstar,0Fao855T3klV3REFRFHRF3,597933,48,False,Blackstar,2w1YJXWMIco6EBf0CovvVN,2016-01-08,day,7,album,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,2023-03-12T23:51:32.985Z
Blackstar,0Fao855T3klV3REFRFHRF3,597933,48,False,Blackstar,2w1YJXWMIco6EBf0CovvVN,2016-01-08,day,7,album,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,2023-03-13T00:11:31.132Z
Mother of the World,5zNQPB67iLm11Zyg6hwiQX,597253,24,False,The Seer,774XM9c4BAxkNqvu7Rea1E,2012-01-01,day,11,album,Swans,79S80ZWgVhIPMCHuvl6SkA,2023-03-13T00:41:29.280Z
13 Angels Standing Guard 'Round The Side Of Your Bed,7jbLjvNlKbfCRUoFWKo5TR,442293,47,False,He Has Left Us Alone But Shafts Of Light Sometimes Grace The Corner Of Our Rooms,298tKa2DPLT9GNmY8vsvLj,2000-03-13,day,8,album,Silver Mt. Zion,0bRpSBtMd3stO4J6TWclMb,2023-03-13T01:00:21.862Z
April 8th,2uKDd3ECuJSXAmkcRqhEGR,167733,23,True,On Avery Island,1r4wYf0rQKB2sVdHkNPBnI,1996-01-01,day,14,album,Neutral Milk Hotel,2ooIqOf4X2uz4mMptXCtie,2023-03-13T14:23:30.634Z
You & I,2rVoTl5ZMP3UijfJVnyRgf,210089,28,False,Stay Cool,44ZygtuH05Lo1yUuVcBA85,2017-07-14,day,8,album,Twinsmith,6OzddGLeuKG9irjEC13C69,2023-03-13T14:36:52.055Z
Chinatown,3BRfgsKjcakny2wCYfZrvz,198842,47,False,Gemini,3hxVFxpF7uUtjLHzvGIm7W,2010-05-25,day,12,album,Wild Nothing,6NrkINd80slV25wkBu9mEB,2023-03-13T14:40:21.518Z
Love You So Bad,7I5YEoBfBLJnMfZCouNFCb,219000,45,False,Transangelic Exodus,0qH9x299SJCF03WuVXgXAN,2018-02-09,day,13,album,Ezra Furman,1uR7zoLrSRI8bSL43OZ0GY,2023-03-13T14:49:11.353Z
Restless Year,3aOqxUnZ6LI5dxQ3iqAQ6C,145000,42,False,Perpetual Motion People,0R8prza80qnGSvS4XdQGc3,2015-07-06,day,13,album,Ezra Furman,1uR7zoLrSRI8bSL43OZ0GY,2023-03-13T14:51:36.885Z
Can I Sleep in Your Brain,6qhov3GzAO4V30EA4kh4T6,237000,37,False,Perpetual Motion People,0R8prza80qnGSvS4XdQGc3,2015-07-06,day,13,album,Ezra Furman,1uR7zoLrSRI8bSL43OZ0GY,2023-03-13T15:02:40.770Z
I'm Coming Clean,5Ubqbm1quUOpXy0cRMOVmP,127409,36,False,Sex Education Original Soundtrack,0d5VbUpz8dcGC17Jkm3og4,2020-01-24,day,19,album,Ezra Furman,1uR7zoLrSRI8bSL43OZ0GY,2023-03-13T15:04:35.323Z
Good Book,0g0HPtE2POXGx8dzuwBRv4,156192,30,False,Sex Education Original Soundtrack,0d5VbUpz8dcGC17Jkm3og4,2020-01-24,day,19,album,Ezra Furman,1uR7zoLrSRI8bSL43OZ0GY,2023-03-13T15:09:28.037Z
Some Summers They Drop Like Flys,1SRR4NhSAhvreSHKQBtplB,379693,18,False,"Whatever You Love, You Are",2UjPnsZmxzCOPVkGzPm7G4,2000-01-01,day,6,album,Dirty Three,1QUsHFoDqNsC0W9AlNyHWF,2023-03-13T15:16:25.563Z
Tighten Up,3C542UknrX76XSRXTyQ1Qg,211336,59,False,Brothers (Deluxe Remastered Anniversary Edition),7lhJVTvqL3QbwGN12QLiVj,2020-12-18,day,18,album,The Black Keys,7mnBLXK823vNxN3UWB7Gfz,2023-03-13T15:33:48.692Z
