user_uri,track_uri,timestamp,current_time
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:32b4c1nr1MmuV3zQlUFuj4,1682423641511,2023-04-25 17:25:48.596492
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Ocbja3GNcxq9Ualmmvfc1,1682423878170,2023-04-25 17:28:25.041221
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4ltqfN12ohaVZdM6C45gMg,1682447248134,2023-04-25 23:58:18.553021
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:32b4c1nr1MmuV3zQlUFuj4,1682447350597,2023-04-25 23:59:37.583365
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2oxtQ84p1j5GmyzmD50Lq0,1682457916280,2023-04-26 02:55:20.554343
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:3bNv3VuUOKgrf5hu3YcuRo,1682460367371,2023-04-26 04:42:45.458100
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,1682500906470,2023-04-26 14:52:27.892260
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1dHe8xx7OH1tkPpyS2KGXX,1682500965305,2023-04-26 14:53:29.398109
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:20I6sIOMTCkB6w7ryavxtO,1682501093240,2023-04-26 14:55:03.467558
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:0tr6XR58KBdDYd8qvHVTs8,1682501414157,2023-04-26 15:00:46.271830
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2Rlso2ZNV0PaWwUYeeBYxx,1682501449253,2023-04-26 15:01:18.211971
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4Cg9XRHLP3s5ZiQaIdL4zW,1682501849050,2023-04-26 15:10:02.872308
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4KfZSdlJ2YYZA4Q1p9WzUK,1682506441565,2023-04-26 16:26:30.184224
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:4ZrDlWjciVMlIY5FcYjngx,1682506914780,2023-04-26 16:32:11.108656
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:3jM9VzF2d1AMUyTD8sTmPu,1682506956713,2023-04-26 16:32:42.877530
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:0O3TAouZE4vL9dM5SyxgvH,1682507068046,2023-04-26 16:34:48.844782
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:44BAhrrgZKylwZh8zlUSaQ,1682507188210,2023-04-26 16:36:53.715078
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:6mOi11ScFGEjlItIXE1ss1,1682507657907,2023-04-26 16:45:41.949007
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,1682507766438,2023-04-26 16:46:13.647896
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,1682508010578,2023-04-26 16:50:24.448892
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:2TdZdeKIDMqi1B3139W4Wb,1682508250575,2023-04-26 16:54:38.065907
spotify:user:gntab9tp1cc5qipthodlvvsm3,spotify:track:1KzNsOkpQthVwpCJrADJEQ,1682508393851,2023-04-26 16:56:44.588044
